employee_id,first_name,last_name,employee_role,birth_date,wage,hire_date,is_active
1,Lorena,Sloat,Server,1992-07-31,12.52,2023-09-30,False
2,Chastity,Nelson,Server,2008-10-31,12.92,2022-11-30,True
3,Jenette,Murphy,Server,2002-10-31,12.68,2023-05-31,True
4,Jonathan,Quay,Server,2006-09-30,12.88,2022-12-31,False
5,Jonathon,Patterson,Manager,1977-03-31,27.2,2020-03-31,True
6,Jennifer,Whited,Server,2007-04-30,13.04,2022-08-31,True
7,Susan,Digiacomo,Server,2006-02-28,12.64,2023-06-30,True
8,Debra,Hutchins,Manager,1993-03-31,28.24,2018-01-31,True
9,Olga,Whitener,Server,2008-10-31,12.64,2023-06-30,True
10,Jeremy,Tallman,Server,2003-03-31,11.92,2024-12-31,False
11,Richard,Hatherly,Server,2008-05-31,12.6,2023-07-31,True
12,Ethan,Doonan,Server,1979-05-31,12.16,2024-06-30,True
13,Randy,Hardison,Server,2005-05-31,12.4,2023-12-31,True
14,Evelyn,Greenwald,Server,1994-09-30,12.12,2024-07-31,True
15,Madeline,Sims,Server,2002-08-31,12.48,2023-10-31,True
16,Gloria,Richardson,Server,1970-01-31,12.72,2023-04-30,True
17,Derek,Reece,Manager,1973-09-30,25.4,2023-12-31,True
18,Ray,Hopper,Server,2006-01-31,12.8,2023-02-28,True
19,Ronald,Lee,Server,1961-02-28,12.44,2023-11-30,True
20,Joseph,Steadman,Server,1991-03-31,12.44,2023-11-30,True
21,Billy,Sparks,Server,2007-12-31,13.0,2022-09-30,True
22,Helen,Caspers,Manager,2002-06-30,27.0,2020-08-31,True
23,Eva,Yelverton,Server,1968-10-31,13.04,2022-08-31,True
24,Paul,Douds,Server,1992-04-30,12.92,2022-11-30,True
25,Shirley,Schulz,Server,1993-01-31,12.76,2023-03-31,False
26,Dana,Gonzalez,Server,2008-09-30,13.12,2022-06-30,False
27,Shannon,Chandler,Manager,1981-02-28,26.96,2020-09-30,True
28,William,Geiger,Server,2002-09-30,13.16,2022-05-31,True
29,Shelly,Gomez,Server,1999-02-28,13.28,2022-02-28,True
30,Ollie,Harrison,Server,2000-09-30,12.24,2024-04-30,True
31,Peggy,Piper,Server,1991-01-31,12.48,2023-10-31,False
32,Debra,Lukach,Manager,1988-10-31,28.96,2016-07-31,True
33,Debbie,Steinborn,Server,1994-10-31,12.0,2024-10-31,True
34,Hope,Wood,Server,1966-11-30,12.72,2023-04-30,True
35,Cathy,Dorsey,Server,1997-04-30,13.32,2022-01-31,True
36,Laura,Morvillo,Server,2005-04-30,12.08,2024-08-31,True
37,Salvatore,Payne,Server,1971-04-30,12.44,2023-11-30,True
38,Dorothy,Broadway,Server,2004-11-30,12.84,2023-01-31,True
39,Lou,Smith,Manager,1967-10-31,26.12,2022-06-30,True
40,Ruby,Simmons,Server,1991-01-31,13.32,2022-01-31,True
41,William,Medeiros,Server,1960-12-31,13.12,2022-06-30,True
42,Robert,Deel,Server,1967-09-30,12.36,2024-01-31,True
43,Patricia,Krueger,Server,2008-10-31,12.36,2024-01-31,True
44,Mary,Young,Server,2002-03-31,12.8,2023-02-28,True
45,Emily,Sikes,Server,2003-09-30,12.52,2023-09-30,True
46,Nicole,Brown,Manager,1987-12-31,29.56,2015-04-30,False
47,Loren,Morace,Server,1988-11-30,12.92,2022-11-30,True
48,Vivian,Anderson,Server,2008-02-28,12.4,2023-12-31,True
49,Maryjane,Clay,Server,1976-05-31,12.36,2024-01-31,False
50,Tina,Burke,Server,2001-10-31,12.08,2024-08-31,True
51,Hisako,Schachter,Server,2003-08-31,12.0,2024-10-31,True
52,Larry,Forrest,Server,1972-05-31,12.96,2022-10-31,True
53,Melody,Tasler,Server,2006-01-31,13.2,2022-04-30,True
54,Kimberly,Muto,Server,2006-11-30,12.56,2023-08-31,True
55,Erna,Brown,Server,1998-02-28,12.76,2023-03-31,False
56,Terri,Parrott,Server,2000-08-31,12.72,2023-04-30,True
57,Philip,Thompson,Server,2008-09-30,13.2,2022-04-30,True
58,Mary,Capps,Server,1992-04-30,11.96,2024-11-30,False
59,Larry,Ward,Server,1982-08-31,12.96,2022-10-31,True
60,Everett,Swensen,Server,1994-12-31,13.0,2022-09-30,True
61,Elaine,Dempsey,Manager,1988-09-30,29.56,2015-04-30,True
62,Cynthia,Olson,Server,1989-10-31,12.92,2022-11-30,True
63,Bob,Scipio,Server,1974-04-30,12.0,2024-10-31,True
64,Elijah,Woody,Server,1993-11-30,12.16,2024-06-30,True
99,Miss,Rev,Manager,1871-04-17,99.99,1871-04-17,True
